# Li & White 2009
# logM*, logdN/dlogM* [cMpc-3]
10.3034, -2.15975
10.3084, -2.16155
10.3134, -2.16338
10.3184, -2.16523
10.3234, -2.16711
10.3284, -2.16902
10.3334, -2.17095
10.3384, -2.17291
10.3434, -2.17490
10.3484, -2.17692
10.3534, -2.17897
10.3584, -2.18105
10.3634, -2.18316
10.3684, -2.18530
10.3734, -2.18747
10.3784, -2.18967
10.3834, -2.19190
10.3884, -2.19417
10.3934, -2.19646
10.3984, -2.19879
10.4034, -2.20115
10.4084, -2.20355
10.4134, -2.20597
10.4184, -2.20843
10.4234, -2.21093
10.4284, -2.21346
10.4334, -2.21603
10.4384, -2.21863
10.4434, -2.22126
10.4484, -2.22394
10.4534, -2.22665
10.4584, -2.22939
10.4634, -2.23218
10.4684, -2.23500
10.4734, -2.23786
10.4784, -2.24076
10.4834, -2.24370
10.4884, -2.24668
10.4934, -2.24970
10.4984, -2.25276
10.5034, -2.25586
10.5084, -2.25900
10.5134, -2.26219
10.5184, -2.26542
10.5234, -2.26869
10.5284, -2.27200
10.5334, -2.27536
10.5384, -2.27877
10.5434, -2.28221
10.5484, -2.28571
10.5534, -2.28925
10.5584, -2.29284
10.5634, -2.29647
10.5684, -2.30016
10.5734, -2.30389
10.5784, -2.30767
10.5834, -2.31150
10.5884, -2.31538
10.5934, -2.31931
10.5984, -2.32329
10.6034, -2.32732
10.6084, -2.33141
10.6134, -2.33555
10.6184, -2.33974
10.6234, -2.34399
10.6284, -2.34829
10.6334, -2.35265
10.6384, -2.35706
10.6434, -2.36154
10.6484, -2.36607
10.6534, -2.37065
10.6584, -2.37530
10.6634, -2.38000
10.6684, -2.38477
10.6734, -2.38960
10.6784, -2.39448
10.6834, -2.39944
10.6884, -2.40445
10.6934, -2.40953
10.6984, -2.41467
10.7034, -2.41988
10.7084, -2.42515
10.7134, -2.43049
10.7184, -2.43590
10.7234, -2.44138
10.7284, -2.44692
10.7334, -2.45254
10.7384, -2.45823
10.7434, -2.46399
10.7484, -2.46982
10.7534, -2.47572
10.7584, -2.48170
10.7634, -2.48775
10.7684, -2.49388
10.7734, -2.50009
10.7784, -2.50637
10.7834, -2.51274
10.7884, -2.51918
10.7934, -2.52570
10.7984, -2.53230
10.8034, -2.53899
10.8084, -2.54576
10.8134, -2.55261
10.8184, -2.55955
10.8234, -2.56657
10.8284, -2.57369
10.8334, -2.58088
10.8384, -2.58817
10.8434, -2.59555
10.8484, -2.60302
10.8534, -2.61058
10.8584, -2.61824
10.8634, -2.62599
10.8684, -2.63384
10.8734, -2.64178
10.8784, -2.64982
10.8834, -2.65796
10.8884, -2.66620
10.8934, -2.67454
10.8984, -2.68298
10.9034, -2.69153
10.9084, -2.70018
10.9134, -2.70894
10.9184, -2.71780
10.9234, -2.72677
10.9284, -2.73585
10.9334, -2.74505
10.9384, -2.75435
10.9434, -2.76377
10.9484, -2.77038
10.9534, -2.77997
10.9584, -2.78961
10.9634, -2.79931
10.9684, -2.80906
10.9734, -2.81887
10.9784, -2.82874
10.9834, -2.83866
10.9884, -2.84864
10.9934, -2.85867
10.9984, -2.86877
11.0034, -2.87892
11.0084, -2.88914
11.0134, -2.89942
11.0184, -2.90976
11.0234, -2.92016
11.0284, -2.93062
11.0334, -2.94115
11.0384, -2.95174
11.0434, -2.96240
11.0484, -2.97312
11.0534, -2.98391
11.0584, -2.99477
11.0634, -3.00570
11.0684, -3.01670
11.0734, -3.02776
11.0784, -3.03890
11.0834, -3.05011
11.0884, -3.06139
11.0934, -3.07274
11.0984, -3.08417
11.1034, -3.09567
11.1084, -3.10725
11.1134, -3.11891
11.1184, -3.13064
11.1234, -3.14246
11.1284, -3.15435
11.1334, -3.16632
11.1384, -3.17837
11.1434, -3.19051
11.1484, -3.20273
11.1534, -3.21503
11.1584, -3.22742
11.1634, -3.23990
11.1684, -3.25246
11.1734, -3.26510
11.1784, -3.27784
11.1834, -3.29067
11.1884, -3.30359
11.1934, -3.31661
11.1984, -3.32971
11.2034, -3.34291
11.2084, -3.35621
11.2134, -3.36960
11.2184, -3.38309
11.2234, -3.39668
11.2284, -3.41037
11.2334, -3.42416
11.2384, -3.43805
11.2434, -3.45205
11.2484, -3.46615
11.2534, -3.48036
11.2584, -3.49467
11.2634, -3.50909
11.2684, -3.52363
11.2734, -3.53827
11.2784, -3.55303
11.2834, -3.56789
11.2884, -3.58288
11.2934, -3.59798
11.2984, -3.61319
11.3034, -3.62853
11.3084, -3.64399
11.3134, -3.65957
11.3184, -3.67527
11.3234, -3.69110
11.3284, -3.70705
11.3334, -3.72313
11.3384, -3.73934
11.3434, -3.75567
11.3484, -3.77214
11.3534, -3.78875
11.3584, -3.80549
11.3634, -3.82236
11.3684, -3.83938
11.3734, -3.85653
11.3784, -3.87382
11.3834, -3.89126
11.3884, -3.90884
11.3934, -3.92657
11.3984, -3.94445
11.4034, -3.96247
11.4084, -3.98065
11.4134, -3.99898
11.4184, -4.01747
11.4234, -4.03611
